date,adjusted_close
1999-01-22,0.03755907
1999-01-25,0.04149391
1999-01-26,0.03827426
1999-01-27,0.03815520
1999-01-28,0.03803525
1999-01-29,0.03624685
1999-02-01,0.03696295
1999-02-02,0.03410131
1999-02-03,0.03481649
1999-02-04,0.03672393
1999-02-05,0.03779717
1999-02-08,0.03648584
1999-02-09,0.03505458
1999-02-10,0.03469747
1999-02-11,0.03767812
1999-02-12,0.03982456
1999-02-16,0.04006264
1999-02-17,0.03791620
1999-02-18,0.03851233
1999-02-19,0.03982456
1999-02-22,0.04006264
1999-02-23,0.04197008
1999-02-24,0.04530879
1999-02-25,0.04387845
1999-02-26,0.04185104
1999-03-01,0.04209002
1999-03-02,0.04173198
1999-03-03,0.03887036
1999-03-04,0.03803525
1999-03-05,0.04018169
1999-03-08,0.04077781
1999-03-09,0.04209002
1999-03-10,0.04137394
1999-03-11,0.03958555
1999-03-12,0.03887036
1999-03-15,0.04053973
1999-03-16,0.03922843
1999-03-17,0.03946652
1999-03-18,0.03994359
1999-03-19,0.04006264
1999-03-22,0.03887036
1999-03-23,0.03648584
1999-03-24,0.03624685
1999-03-25,0.03672393
1999-03-26,0.03994359
1999-03-29,0.04113586
1999-03-30,0.03767812
1999-03-31,0.04030072
1999-04-01,0.03910846
1999-04-05,0.03791620
1999-04-06,0.03696295
1999-04-07,0.04006264
1999-04-08,0.04077781
1999-04-09,0.04006264
1999-04-12,0.03839328
1999-04-13,0.03684298
1999-04-14,0.03577067
1999-04-15,0.03672393
1999-04-16,0.03791620
1999-04-19,0.03624685
1999-04-20,0.03553165
1999-04-21,0.03612780
1999-04-22,0.03457750
1999-04-23,0.03290905
1999-04-26,0.03123972
1999-04-27,0.03457750
1999-04-28,0.03433939
1999-04-29,0.03433939
1999-04-30,0.03481649
1999-05-03,0.03505458
1999-05-04,0.03314715
1999-05-05,0.03386232
1999-05-06,0.03320666
1999-05-07,0.03338523
1999-05-10,0.03338523
1999-05-11,0.03517363
1999-05-12,0.03624685
1999-05-13,0.03624685
1999-05-14,0.03433939
1999-05-17,0.03600876
1999-05-18,0.03767812
1999-05-19,0.03600876
1999-05-20,0.03314715
1999-05-21,0.03243198
1999-05-24,0.03231202
1999-05-25,0.03255101
1999-05-26,0.03243198
1999-05-27,0.03219297
1999-05-28,0.03255101
1999-06-01,0.03267005
1999-06-02,0.03147780
1999-06-03,0.03231202
1999-06-04,0.03255101
1999-06-07,0.03290905
1999-06-08,0.03374328
1999-06-09,0.03433939
1999-06-10,0.03445844
1999-06-11,0.03374328
1999-06-14,0.03243198
1999-06-15,0.03243198
1999-06-16,0.03338523
1999-06-17,0.03243198
1999-06-18,0.03123972
1999-06-21,0.03290905
1999-06-22,0.03231202
1999-06-23,0.03290905
1999-06-24,0.03219297
1999-06-25,0.03267005
1999-06-28,0.03314715
1999-06-29,0.03350519
1999-06-30,0.03648584
1999-07-01,0.03457750
1999-07-02,0.03708198
1999-07-06,0.03720102
1999-07-07,0.03648584
1999-07-08,0.03732005
1999-07-09,0.04048021
1999-07-12,0.04232812
1999-07-13,0.04244717
1999-07-14,0.04077781
1999-07-15,0.04101682
1999-07-16,0.04185104
1999-07-19,0.04077781
1999-07-20,0.04006264
1999-07-21,0.03887036
1999-07-22,0.03708198
1999-07-23,0.03708198
1999-07-26,0.03720102
1999-07-27,0.03732005
1999-07-28,0.03791620
1999-07-29,0.03827426
1999-07-30,0.03839328
1999-08-02,0.03875133
1999-08-03,0.03779717
1999-08-04,0.03779717
1999-08-05,0.03839328
1999-08-06,0.03839328
1999-08-09,0.03839328
1999-08-10,0.03910846
1999-08-11,0.04173198
1999-08-12,0.04375849
1999-08-13,0.04328231
1999-08-16,0.04161296
1999-08-17,0.04173198
1999-08-18,0.04268619
1999-08-19,0.05174721
1999-08-20,0.05127103
1999-08-23,0.04817041
1999-08-24,0.04793232
1999-08-25,0.04769332
1999-08-26,0.04697813
1999-08-27,0.04960167
1999-08-30,0.04942219
1999-08-31,0.05365555
1999-09-01,0.05115105
1999-09-02,0.05055495
1999-09-03,0.05091299
1999-09-07,0.05067490
1999-09-08,0.05055495
1999-09-09,0.04983978
1999-09-10,0.05055495
1999-09-13,0.04888558
1999-09-14,0.04745524
1999-09-15,0.04781328
1999-09-16,0.04662009
1999-09-17,0.04650105
1999-09-20,0.04483170
1999-09-21,0.04053973
1999-09-22,0.04149391
1999-09-23,0.03803525
1999-09-24,0.03457750
1999-09-27,0.03672393
1999-09-28,0.04006264
1999-09-29,0.03684298
1999-09-30,0.03672393
1999-10-01,0.03648584
1999-10-04,0.03720102
1999-10-05,0.04077781
1999-10-06,0.04566683
1999-10-07,0.04268619
1999-10-08,0.04483170
1999-10-11,0.04363944
1999-10-12,0.04304330
1999-10-13,0.04185104
1999-10-14,0.04101682
1999-10-15,0.04077781
1999-10-18,0.03863229
1999-10-19,0.03708198
1999-10-20,0.03839328
1999-10-21,0.04018169
1999-10-22,0.04113586
1999-10-25,0.03910846
1999-10-26,0.04292427
1999-10-27,0.04101682
1999-10-28,0.03910846
1999-10-29,0.04220910
1999-11-01,0.04483170
1999-11-02,0.04769332
1999-11-03,0.05234334
1999-11-04,0.05568204
1999-11-05,0.05389365
1999-11-08,0.05544394
1999-11-09,0.05460882
1999-11-10,0.05413265
1999-11-11,0.05794751
1999-11-12,0.06104814
1999-11-15,0.05985588
1999-11-16,0.06557912
1999-11-17,0.06808268
1999-11-18,0.06832076
1999-11-19,0.08179463
1999-11-22,0.08167560
1999-11-23,0.07583331
1999-11-24,0.07344787
1999-11-26,0.07297169
1999-11-29,0.07034820
1999-11-30,0.06605531
1999-12-01,0.06939401
1999-12-02,0.07452109
1999-12-03,0.07273269
1999-12-06,0.07476009
1999-12-07,0.07225560
1999-12-08,0.07547528
1999-12-09,0.07320979
1999-12-10,0.07237466
1999-12-13,0.07213658
1999-12-14,0.07094429
1999-12-15,0.06867878
1999-12-16,0.06820173
1999-12-17,0.07177849
1999-12-20,0.07774073
1999-12-21,0.08107947
1999-12-22,0.08298694
1999-12-23,0.08847205
1999-12-27,0.08513334
1999-12-28,0.08489434
1999-12-29,0.08775598
1999-12-30,0.08847205
1999-12-31,0.08954436
2000-01-03,0.08930628
2000-01-04,0.08692174
2000-01-05,0.08406011
2000-01-06,0.07857500
2000-01-07,0.07988719
2000-01-10,0.08250979
2000-01-11,0.07917111
2000-01-12,0.07714462
2000-01-13,0.08036339
2000-01-14,0.08382112
2000-01-18,0.08739884
2000-01-19,0.08656371
2000-01-20,0.08632559
2000-01-21,0.08537143
2000-01-24,0.08155652
2000-01-25,0.08084047
2000-01-26,0.07750174
2000-01-27,0.07344787
2000-01-28,0.07130232
2000-01-31,0.07070621
2000-02-01,0.07237466
2000-02-02,0.07440205
2000-02-03,0.07559434
2000-02-04,0.07738269
2000-02-07,0.07261362
2000-02-08,0.07607141
2000-02-09,0.07797883
2000-02-10,0.09395626
2000-02-11,0.09538756
2000-02-14,0.11064893
2000-02-15,0.10635693
2000-02-16,0.11124501
2000-02-17,0.11517990
2000-02-18,0.12853472
2000-02-22,0.12495702
2000-02-23,0.12567307
2000-02-24,0.12448077
2000-02-25,0.11673017
2000-02-28,0.11589598
2000-02-29,0.12209537
2000-03-01,0.11851857
2000-03-02,0.11052987
2000-03-03,0.11231826
2000-03-06,0.11160310
2000-03-07,0.15893929
2000-03-08,0.16025056
2000-03-09,0.19134095
2000-03-10,0.22511363
2000-03-13,0.28473142
2000-03-14,0.21009029
2000-03-15,0.20150547
2000-03-16,0.17965551
2000-03-17,0.19053610
2000-03-20,0.19041707
2000-03-21,0.18099706
2000-03-22,0.18230923
2000-03-23,0.18552804
2000-03-24,0.17777836
2000-03-27,0.16609289
2000-03-28,0.15369314
2000-03-29,0.14355792
2000-03-30,0.14272285
2000-03-31,0.16117452
2000-04-03,0.14856607
2000-04-04,0.14308086
2000-04-05,0.17491673
2000-04-06,0.18302448
2000-04-07,0.19566321
2000-04-10,0.17837444
2000-04-11,0.16776216
2000-04-12,0.15035440
2000-04-13,0.14391509
2000-04-14,0.13124698
2000-04-17,0.13795376
2000-04-18,0.16239700
2000-04-19,0.15464637
2000-04-20,0.15381214
2000-04-24,0.14618059
2000-04-25,0.16215801
2000-04-26,0.16048865
2000-04-27,0.17360450
2000-04-28,0.17002773
2000-05-01,0.17551288
2000-05-02,0.16871631
2000-05-03,0.16597387
2000-05-04,0.16800129
2000-05-05,0.17575096
2000-05-08,0.16931246
2000-05-09,0.16692792
2000-05-10,0.15047348
2000-05-11,0.15691188
2000-05-12,0.15214282
2000-05-15,0.16263510
2000-05-16,0.17932776
2000-05-17,0.21080549
2000-05-18,0.19649744
2000-05-19,0.19482809
2000-05-22,0.20746775
2000-05-23,0.20579837
2000-05-24,0.20317484
2000-05-25,0.20031321
2000-05-26,0.20132688
2000-05-30,0.20961325
2000-05-31,0.21772099
2000-06-01,0.22380228
2000-06-02,0.25098810
2000-06-05,0.25638264
2000-06-06,0.24359553
2000-06-07,0.23274514
2000-06-08,0.23453359
2000-06-09,0.24121003
2000-06-12,0.23477159
2000-06-13,0.24216425
2000-06-14,0.24192616
2000-06-15,0.24824552
2000-06-16,0.28568470
2000-06-19,0.30356956
2000-06-20,0.29951569
2000-06-21,0.32992023
2000-06-22,0.31191626
2000-06-23,0.28246579
2000-06-26,0.31656638
2000-06-27,0.27185374
2000-06-28,0.26136139
2000-06-29,0.22368325
2000-06-30,0.24252231
2000-07-03,0.23322235
2000-07-05,0.20818286
2000-07-06,0.22082162
2000-07-07,0.22201389
2000-07-10,0.23346034
2000-07-11,0.25229943
2000-07-12,0.25945312
2000-07-13,0.28377715
2000-07-14,0.28163081
2000-07-17,0.27853110
2000-07-18,0.27304593
2000-07-19,0.25563818
2000-07-20,0.26255369
2000-07-21,0.26589227
2000-07-24,0.24323744
2000-07-25,0.23417555
2000-07-26,0.21676773
2000-07-27,0.20126736
2000-07-28,0.20603640
2000-07-31,0.22892934
2000-08-01,0.22439840
2000-08-02,0.22892934
2000-08-03,0.23894553
2000-08-04,0.24323744
2000-08-07,0.26231474
2000-08-08,0.25659141
2000-08-09,0.24896067
2000-08-10,0.25182241
2000-08-11,0.24586095
2000-08-14,0.24824552
2000-08-15,0.27167508
2000-08-16,0.27853110
2000-08-17,0.28377715
2000-08-18,0.29379237
2000-08-21,0.29832339
2000-08-22,0.27018434
2000-08-23,0.28592354
2000-08-24,0.29355425
2000-08-25,0.28616172
2000-08-28,0.29760820
2000-08-29,0.29689312
2000-08-30,0.29951569
2000-08-31,0.30285445
2000-09-01,0.30333143
2000-09-05,0.30380854
2000-09-06,0.28282309
2000-09-07,0.29808533
2000-09-08,0.28043854
2000-09-11,0.26899204
2000-09-12,0.26732272
2000-09-13,0.26720363
2000-09-14,0.26470014
2000-09-15,0.27048275
2000-09-18,0.25468388
2000-09-19,0.26255369
2000-09-20,0.25396878
2000-09-21,0.26487863
2000-09-22,0.26946905
2000-09-25,0.28878516
2000-09-26,0.29570091
2000-09-27,0.31191626
2000-09-28,0.32145536
2000-09-29,0.31239337
2000-10-02,0.30500087
2000-10-03,0.28854632
2000-10-04,0.28520751
2000-10-05,0.27853110
2000-10-06,0.26112252
2000-10-09,0.26684561
2000-10-10,0.24657618
2000-10-11,0.24872254
2000-10-12,0.23894553
2000-10-13,0.24848358
2000-10-16,0.24276039
2000-10-17,0.22511363
2000-10-18,0.22153677
2000-10-19,0.24299940
2000-10-20,0.26565325
2000-10-23,0.25969201
2000-10-24,0.25134519
2000-10-25,0.22940654
2000-10-26,0.23918362
2000-10-27,0.23369846
2000-10-30,0.21724485
2000-10-31,0.23709673
2000-11-01,0.23703714
2000-11-02,0.25516102
2000-11-03,0.27185374
2000-11-06,0.29283917
2000-11-07,0.27304593
2000-11-08,0.26493809
2000-11-09,0.23727612
2000-11-10,0.22439840
2000-11-13,0.22535262
2000-11-14,0.26660746
2000-11-15,0.26309034
2000-11-16,0.24657618
2000-11-17,0.24180713
2000-11-20,0.22320621
2000-11-21,0.21891417
2000-11-22,0.20746775
2000-11-24,0.21939035
2000-11-27,0.21199773
2000-11-28,0.19619980
2000-11-29,0.18409774
2000-11-30,0.15452734
2000-12-01,0.16978960
2000-12-04,0.17241217
2000-12-05,0.18362063
2000-12-06,0.15738890
2000-12-07,0.15452734
2000-12-08,0.18982095
2000-12-11,0.18982095
2000-12-12,0.18457475
2000-12-13,0.17026667
2000-12-14,0.15858121
2000-12-15,0.14284281
2000-12-18,0.14755236
2000-12-19,0.13640346
2000-12-20,0.12161919
2000-12-21,0.10635693
2000-12-22,0.13378084
2000-12-26,0.12829570
2000-12-27,0.13688053
2000-12-28,0.13759568
2000-12-29,0.12501647
2001-01-02,0.11422661
2001-01-03,0.14928119
2001-01-04,0.16645090
2001-01-05,0.14153056
2001-01-08,0.15500438
2001-01-09,0.15810418
2001-01-10,0.16907349
2001-01-11,0.18314345
2001-01-12,0.17932776
2001-01-16,0.16525862
2001-01-17,0.17121993
2001-01-18,0.20406948
2001-01-19,0.19864386
2001-01-22,0.19077420
2001-01-23,0.20979275
2001-01-24,0.20889807
2001-01-25,0.18791252
2001-01-26,0.19387481
2001-01-29,0.19482809
2001-01-30,0.19912094
2001-01-31,0.19697452
2001-02-01,0.19798821
2001-02-02,0.17885154
2001-02-05,0.17861256
2001-02-06,0.17956677
2001-02-07,0.17121993
2001-02-08,0.17026667
2001-02-09,0.16907349
2001-02-12,0.16454343
2001-02-13,0.16955063
2001-02-14,0.18195125
2001-02-15,0.21533649
2001-02-16,0.22702198
2001-02-20,0.20436710
2001-02-21,0.21366714
2001-02-22,0.22272906
2001-02-23,0.20734774
2001-02-26,0.20269775
2001-02-27,0.19053610
2001-02-28,0.17050479
2001-03-01,0.18397769
2001-03-02,0.16627233
2001-03-05,0.16788121
2001-03-06,0.18409774
2001-03-07,0.19888295
2001-03-08,0.20555934
2001-03-09,0.19101319
2001-03-12,0.18409774
2001-03-13,0.20603640
2001-03-14,0.21772099
2001-03-15,0.22845227
2001-03-16,0.22749908
2001-03-19,0.24061401
2001-03-20,0.21819806
2001-03-21,0.23441455
2001-03-22,0.25802273
2001-03-23,0.25563818
2001-03-26,0.26946905
2001-03-27,0.25969201
2001-03-28,0.25987059
2001-03-29,0.26374584
2001-03-30,0.24770895
2001-04-02,0.23727612
2001-04-03,0.24514487
2001-04-04,0.21986739
2001-04-05,0.24013785
2001-04-06,0.23918362
2001-04-09,0.22755581
2001-04-10,0.24903668
2001-04-11,0.26406994
2001-04-12,0.26803789
2001-04-16,0.26151341
2001-04-17,0.27433345
2001-04-18,0.29478502
2001-04-19,0.32011929
2001-04-20,0.33179465
2001-04-23,0.31428158
2001-04-24,0.29203793
2001-04-25,0.30546790
2001-04-26,0.28139278
2001-04-27,0.30142415
2001-04-30,0.31782997
2001-05-01,0.34751490
2001-05-02,0.33954081
2001-05-03,0.33805266
2001-05-04,0.34270731
2001-05-07,0.35808408
2001-05-08,0.33217645
2001-05-09,0.31660947
2001-05-10,0.30596426
2001-05-11,0.29814205
2001-05-14,0.30069873
2001-05-15,0.31149682
2001-05-16,0.32618594
2001-05-17,0.33194774
2001-05-18,0.32927647
2001-05-21,0.34415695
2001-05-22,0.35445860
2001-05-23,0.35144511
2001-05-24,0.35663354
2001-05-25,0.34988001
2001-05-29,0.33553445
2001-05-30,0.32927647
2001-05-31,0.32664374
2001-06-01,0.34472913
2001-06-04,0.33938786
2001-06-05,0.35720578
2001-06-06,0.35873228
2001-06-07,0.37899265
2001-06-08,0.36914858
2001-06-11,0.35835052
2001-06-12,0.37029329
2001-06-13,0.35785517
2001-06-14,0.35709143
2001-06-15,0.36266264
2001-06-18,0.34831607
2001-06-19,0.32927647
2001-06-20,0.34343246
2001-06-21,0.34991860
2001-06-22,0.34835458
2001-06-25,0.34766769
2001-06-26,0.35770208
2001-06-27,0.34663767
2001-06-28,0.35071987
2001-06-29,0.35388637
2001-07-02,0.33820462
2001-07-03,0.34251678
2001-07-05,0.31767800
2001-07-06,0.30791003
2001-07-09,0.29783717
2001-07-10,0.30027920
2001-07-11,0.29970706
2001-07-12,0.31542632
2001-07-13,0.30890164
2001-07-16,0.28406289
2001-07-17,0.29993600
2001-07-18,0.28955719
2001-07-19,0.29421267
2001-07-20,0.28574228
2001-07-23,0.25869021
2001-07-24,0.27620330
2001-07-25,0.27353221
2001-07-26,0.30142415
2001-07-27,0.30905467
2001-07-30,0.30169043
2001-07-31,0.30867293
2001-08-01,0.32752189
2001-08-02,0.33530545
2001-08-03,0.33267292
2001-08-06,0.34274575
2001-08-07,0.33767095
2001-08-08,0.32908601
2001-08-09,0.32332426
2001-08-10,0.32294345
2001-08-13,0.33648771
2001-08-14,0.32755953
2001-08-15,0.32794136
2001-08-16,0.34175304
2001-08-17,0.31962395
2001-08-20,0.31741068
2001-08-21,0.31073323
2001-08-22,0.32351568
2001-08-23,0.31634188
2001-08-24,0.32538474
2001-08-27,0.33664075
2001-08-28,0.33225256
2001-08-29,0.32156971
2001-08-30,0.32053953
2001-08-31,0.32320976
2001-09-04,0.30073711
2001-09-05,0.30714720
2001-09-06,0.29459360
2001-09-07,0.29768425
2001-09-10,0.28906178
2001-09-17,0.25937700
2001-09-18,0.24373379
2001-09-19,0.24075773
2001-09-20,0.22038299
2001-09-21,0.20580752
2001-09-24,0.22892934
2001-09-25,0.22000107
2001-09-26,0.21206464
2001-09-27,0.20031321
2001-09-28,0.20962332
2001-10-01,0.19184282
2001-10-02,0.18222778
2001-10-03,0.21809371
2001-10-04,0.24640399
2001-10-05,0.25105953
2001-10-08,0.25670591
2001-10-09,0.24556516
2001-10-10,0.26136139
2001-10-11,0.28967166
2001-10-12,0.30852085
2001-10-15,0.30714720
2001-10-16,0.33805266
2001-10-17,0.31821176
2001-10-18,0.33164272
2001-10-19,0.33851057
2001-10-22,0.34652302
2001-10-23,0.34041789
2001-10-24,0.35545129
2001-10-25,0.37628382
2001-10-26,0.34942231
2001-10-29,0.32103488
2001-10-30,0.32050112
2001-10-31,0.32706416
2001-11-01,0.35499358
2001-11-02,0.35995299
2001-11-05,0.36125058
2001-11-06,0.38605085
2001-11-07,0.38635674
2001-11-08,0.37964091
2001-11-09,0.40596783
2001-11-12,0.41688046
2001-11-13,0.41344649
2001-11-14,0.40192398
2001-11-15,0.40406033
2001-11-16,0.40055037
2001-11-19,0.39177421
2001-11-20,0.38078555
2001-11-21,0.37590209
2001-11-23,0.38116744
2001-11-26,0.40840995
2001-11-27,0.41275963
2001-11-28,0.39192715
2001-11-29,0.40909666
2001-11-30,0.41695634
2001-12-03,0.41062331
2001-12-04,0.44366524
2001-12-05,0.47945416
2001-12-06,0.47189939
2001-12-07,0.45747694
2001-12-10,0.46205550
2001-12-11,0.47861528
2001-12-12,0.49349588
2001-12-13,0.47930226
2001-12-14,0.50089735
2001-12-17,0.51890713
2001-12-18,0.50555217
2001-12-19,0.49174032
2001-12-20,0.47235724
2001-12-21,0.49280891
2001-12-24,0.50509423
2001-12-26,0.51745635
2001-12-27,0.52943772
2001-12-28,0.51669365
2001-12-31,0.51051247
2002-01-02,0.51356471
2002-01-03,0.54721725
2002-01-04,0.53126907
2002-01-07,0.51699865
2002-01-08,0.52310365
2002-01-09,0.51593083
2002-01-10,0.50356877
2002-01-11,0.48128563
2002-01-14,0.45602730
2002-01-15,0.49860820
2002-01-16,0.47914916
2002-01-17,0.49593723
2002-01-18,0.48685676
2002-01-22,0.47464672
2002-01-23,0.48357481
2002-01-24,0.50089735
2002-01-25,0.49960005
2002-01-28,0.51883006
2002-01-29,0.49341893
2002-01-30,0.49937099
2002-01-31,0.50166023
2002-02-01,0.48937511
2002-02-04,0.46632916
2002-02-05,0.46175066
2002-02-06,0.47327313
2002-02-07,0.45793486
2002-02-08,0.44046018
2002-02-11,0.46480271
2002-02-12,0.47464672
2002-02-13,0.46854234
2002-02-14,0.47434175
2002-02-15,0.43763688
2002-02-19,0.40863895
2002-02-20,0.43000531
2002-02-21,0.40062642
2002-02-22,0.38093856
