date,adjusted_close
2001-07-13,19.88509369
2001-07-16,18.73277473
2001-07-17,19.50190544
2001-07-18,18.69445610
2001-07-19,19.48821831
2001-07-20,19.39242172
2001-07-23,18.80394363
2001-07-24,18.29757309
2001-07-25,17.96912003
2001-07-26,19.63875961
2001-07-27,20.09311295
2001-07-30,20.22723389
2001-07-31,20.22723389
2001-08-01,21.28102493
2001-08-02,21.69159508
2001-08-03,21.41787720
2001-08-06,21.03468704
2001-08-07,20.70897102
2001-08-08,20.47356987
2001-08-09,19.91246414
2001-08-10,19.95352173
2001-08-13,20.43252754
2001-08-14,20.51463127
2001-08-15,19.71266556
2001-08-16,19.46084785
2001-08-17,18.77657127
2001-08-20,18.98185349
2001-08-21,18.50287056
2001-08-22,19.07764626
2001-08-23,19.17345810
2001-08-24,20.00005531
2001-08-27,20.44620514
2001-08-28,19.96720505
2001-08-29,19.26923943
2001-08-30,18.74919510
2001-08-31,18.84225273
2001-09-04,18.33863258
2001-09-05,17.70909119
2001-09-06,16.88796616
2001-09-07,17.01113701
2001-09-10,16.99471474
2001-09-17,15.43728828
2001-09-18,15.52488708
2001-09-19,14.21928501
2001-09-20,13.30235481
2001-09-21,12.65912724
2001-09-24,13.91819668
2001-09-25,13.54869366
2001-09-26,13.16549397
2001-09-27,12.76861668
2001-09-28,13.12444019
2001-10-01,12.68650341
2001-10-02,12.45384789
2001-10-03,13.64449024
2001-10-04,14.43824768
2001-10-05,14.52583218
2001-10-08,15.10884285
2001-10-09,14.42456818
2001-10-10,15.24570179
2001-10-11,16.59783554
2001-10-12,16.31316566
2001-10-15,15.97103691
2001-10-16,16.46371078
2001-10-17,15.79311848
2001-10-18,15.21832657
2001-10-19,15.33875561
2001-10-22,16.09420967
2001-10-23,16.02578163
2001-10-24,16.52939987
2001-10-25,17.24378395
2001-10-26,17.30947685
2001-10-29,16.35422134
2001-10-30,15.36887074
2001-10-31,15.93544674
2001-11-01,16.91532707
2001-11-02,17.07956505
2001-11-05,17.76110458
2001-11-06,18.25652695
2001-11-07,18.38789749
2001-11-08,17.88974953
2001-11-09,18.03481293
2001-11-12,18.38516426
2001-11-13,19.20081902
2001-11-14,19.29662704
2001-11-15,19.10501862
2001-11-16,19.03659630
2001-11-19,18.95722008
2001-11-20,17.88153458
2001-11-21,18.10597992
2001-11-23,18.40705872
2001-11-26,19.14881516
2001-11-27,19.16797256
2001-11-28,18.31400108
2001-11-29,18.81488609
2001-11-30,18.56854820
2001-12-03,18.32495117
2001-12-04,19.22819328
2001-12-05,20.76098061
2001-12-06,20.62412071
2001-12-07,19.88509369
2001-12-10,19.46084785
2001-12-11,19.66885567
2001-12-12,19.61137962
2001-12-13,18.68350410
2001-12-14,19.06670761
2001-12-17,19.48821831
2001-12-18,19.63875961
2001-12-19,18.62602425
2001-12-20,17.68446541
2001-12-21,18.13061333
2001-12-24,17.99649429
2001-12-26,18.21545982
2001-12-27,18.49737549
2001-12-28,18.65339661
2001-12-31,18.20177460
2002-01-02,18.94079971
2002-01-03,20.39147186
2002-01-04,20.32030106
2002-01-07,19.87414551
2002-01-08,19.92615128
2002-01-09,19.81666946
2002-01-10,19.59223175
2002-01-11,19.48821831
2002-01-14,19.10775757
2002-01-15,19.15976524
2002-01-16,18.34958076
2002-01-17,18.79026222
2002-01-18,18.31125641
2002-01-22,17.49012756
2002-01-23,18.01017570
2002-01-24,18.28936577
2002-01-25,18.46728134
2002-01-28,18.79299545
2002-01-29,18.36052322
2002-01-30,18.83131027
2002-01-31,18.97911263
2002-02-01,18.79026222
2002-02-04,18.43990898
2002-02-05,18.17440605
2002-02-06,18.11966515
2002-02-07,17.53118515
2002-02-08,17.91438866
2002-02-11,18.60687447
2002-02-12,18.50287056
2002-02-13,18.91342163
2002-02-14,18.81214905
2002-02-15,18.36052322
2002-02-19,17.55581665
2002-02-20,17.91438866
2002-02-21,16.80585289
2002-02-22,16.87700653
2002-02-25,17.76383972
2002-02-26,17.50382233
2002-02-27,17.42444229
2002-02-28,16.88796616
2002-03-01,18.45358658
2002-03-04,19.66612625
2002-03-05,20.00005531
2002-03-06,19.95900154
2002-03-07,20.12869835
2002-03-08,20.85677719
2002-03-11,20.44073296
2002-03-12,19.71540451
2002-03-13,19.17892647
2002-03-14,19.12692642
2002-03-15,19.40884399
2002-03-18,19.63875961
2002-03-19,19.76193428
2002-03-20,19.08039284
2002-03-21,19.57032585
2002-03-22,19.35136986
2002-03-25,18.82309532
2002-03-26,19.11870384
2002-03-27,19.14881516
2002-03-28,19.49642563
2002-04-01,19.98089790
2002-04-02,19.39515495
2002-04-03,18.98459625
2002-04-04,19.05027771
2002-04-05,18.89152718
2002-04-08,18.83131027
2002-04-09,18.40705872
2002-04-10,18.47549629
2002-04-11,18.10597992
2002-04-12,18.20177460
2002-04-15,18.59865761
2002-04-16,19.61412811
2002-04-17,20.04111862
2002-04-18,19.44168091
2002-04-19,19.18712807
2002-04-22,18.84499931
2002-04-23,18.47549629
2002-04-24,17.87332344
2002-04-25,18.02386665
2002-04-26,17.24378395
2002-04-29,17.28484344
2002-04-30,17.65434456
2002-05-01,17.72004700
2002-05-02,16.99745178
2002-05-03,16.29675293
2002-05-06,15.97103691
2002-05-07,15.87523365
2002-05-08,17.73647118
2002-05-09,17.45453262
2002-05-10,16.47192383
